City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,isla mujeres,21.2311,-86.731,33.03,69,29,4.28,MX,1690395026
175,guanambi,-14.2233,-42.7814,30.87,28,15,4.97,BR,1690395026
176,port lincoln,-34.7333,135.8667,12.84,53,0,6.02,AU,1690395345
177,mount gambier,-37.8333,140.7667,7.28,82,26,4.1,AU,1690395424
178,kone,-21.0595,164.8658,14.49,74,15,2.37,NC,1690395026
179,guantanamo,20.1444,-75.2092,32.76,48,97,5.86,CU,1690395461
180,strezhevoy,60.7333,77.5889,15.55,97,46,2.52,RU,1690395027
181,masaka,-0.3338,31.7341,18.71,63,20,2.37,UG,1690395027
182,misratah,32.3754,15.0925,29.18,77,0,8.68,LY,1690395027
183,la passe,45.5549,-0.8967,23.13,69,40,4.48,FR,1690395027
184,ciudad lazaro cardenas,17.9583,-102.2,32.64,51,32,3.8,MX,1690395169
185,akureyri,65.6835,-18.0878,10.96,76,75,4.12,IS,1690395411
186,latimer,30.5346,-88.8667,33.43,49,75,2.06,US,1690395028
187,omutinskiy,56.4745,67.6709,18.88,62,72,1.98,RU,1690395028
188,naze,28.3667,129.4833,26.18,84,99,5.64,JP,1690395028
189,kamloops,50.6665,-120.3192,19.86,53,21,1.34,CA,1690395028
190,masterton,-40.9597,175.6575,3.2,94,67,1.32,NZ,1690394734
191,catu,-12.3531,-38.3789,27.41,54,46,4.1,BR,1690394857
192,berdigestyakh,62.0989,126.6992,10.71,67,70,1.7,RU,1690395029
193,ebon,4.582,168.6964,26.51,86,99,6.47,MH,1690395029
194,porto novo,6.4965,2.6036,25.61,85,56,3.88,BJ,1690395029
195,east london,-33.0153,27.9116,14.52,82,0,0.51,ZA,1690395461
196,praia,14.9215,-23.5087,29.3,74,40,6.69,CV,1690395029
197,margate,51.3813,1.3862,17.61,70,96,3.58,GB,1690395463
198,tazovsky,67.4667,78.7,16.6,73,57,4.4,RU,1690395463
199,tiksi,71.6872,128.8694,4.04,87,37,2.31,RU,1690395463
